,FIPS,Sep20p.UnemployRate,Population,White,Black,Asian,Hispanic,ForeignBorn,WorkAtHome,MarriedCouple.HH,NoWife.HH,NoHusband.HH,Alone.HH,MedHouseIncome,Households,PubAssist.HH,GINI,BBInternet.HH,PopPerSqMile,Crude.Mortality,Age.Adjust.Mortality,Poverty,NoHealthIns,Employed.Essential,Computer.HH,AdultwHSdeg,State,RUCC_2013,Description,UrbanRural,Ages5to19,AvgCases,AvgDeaths
1,1001,5.2,55200,0.750217391,0.189764493,0.010289855,0.027681159,0.020181159,0.050249386,0.567748046,0.036372247,0.113900071,0.251148473,58786,21115,0.013450154,0.4602,0.788586313,91.8,938.4,884.4,0.153784351,0.071393039,0.266290831,0.869902913,0.887,AL,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",Mostly Urban,0.196441676,3113.952381,41.42857143
2,1003,5.5,208107,0.830188317,0.093841149,0.008015108,0.044943226,0.03445343,0.073703582,0.527231564,0.030805627,0.095202361,0.303897128,55962,78622,0.013723894,0.4609,0.781257154,114.6,946.5,716.9,0.105660985,0.101551701,0.276582529,0.885693572,0.903,AL,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Mostly Urban,0.180210004,10027.66667,134.3333333
3,1005,8.6,25782,0.461484757,0.473159569,0.003296874,0.042898146,0.025056241,0.012991573,0.425430002,0.037666013,0.193337688,0.325495319,34186,9186,0.028412802,0.4731,0.603962552,31,985.9,800.7,0.288633182,0.111790927,0.29793578,0.760505116,0.73,AL,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Mostly Rural,0.173620676,1240.142857,26.04761905
4,1007,6.6,22527,0.745816132,0.220801705,0.001642473,0.024281973,0.014427132,0.048507463,0.530116959,0.056578947,0.136549708,0.259649123,45340,6840,0.044736842,0.4294,0.660964912,36.8,1055.5,927.7,0.139876881,0.079099081,0.330102482,0.762719298,0.832,AL,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Mostly Rural,0.167276949,1342.809524,35.04761905
5,1009,4,57645,0.87140255,0.014224998,0.003434817,0.091265504,0.043594414,0.054953917,0.579708738,0.057524272,0.095970874,0.247087379,48695,20600,0.015873786,0.4331,0.68461165,88.9,1207.9,989.4,0.144003364,0.11025206,0.320528436,0.786504854,0.802,AL,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Mostly Rural,0.191678484,3458,45.85714286
6,1011,6.5,10352,0.215224111,0.76246136,0.005409583,0.004926584,0.00927357,0.032618544,0.390135772,0.052646162,0.244666112,0.296203935,32152,3609,0.04377944,0.5174,0.588528678,17.5,1283.5,1063,0.31385609,0.107837242,0.251142132,0.729010806,0.752,AL,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Mostly Rural,0.173250173,718.3809524,19.71428571
7,1013,9.1,20025,0.51855181,0.450786517,0.011535581,0.003345818,0.013732834,0.016684902,0.445140131,0.030411449,0.18470483,0.305008945,39109,6708,0.014758497,0.4708,0.62149672,27,1375.1,1014,0.235449333,0.101601297,0.247685479,0.70110316,0.846,AL,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Mostly Rural,0.184697655,1259,42.76190476
8,1015,7.5,115098,0.724799736,0.205199048,0.009252984,0.036516708,0.026577351,0.030992893,0.477316634,0.043767904,0.163591144,0.267959052,45197,45033,0.017120778,0.4676,0.729820354,195.7,1225,1023.8,0.185915468,0.094099207,0.251759869,0.846579175,0.841,AL,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Mostly Urban,0.18467497,7299.285714,127.047619
9,1017,6.6,33826,0.557914031,0.39375037,0.011973038,0.022704429,0.013894637,0.029318182,0.422684226,0.058005327,0.159958568,0.316217816,39872,13516,0.007472625,0.4568,0.664767683,57.4,1359.2,1015.8,0.166225882,0.10806688,0.214155282,0.757620598,0.814,AL,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Mostly Urban,0.171708667,1934,53.95238095
10,1019,4,25853,0.917881871,0.049007852,0.00162457,0.015394732,0.007929447,0.026962348,0.571563266,0.02366585,0.096077692,0.282670187,41014,10606,0.01433151,0.4539,0.685555346,46.9,1403.3,1022.3,0.150072546,0.083362645,0.305048445,0.80096172,0.802,AL,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Mostly Rural,0.163612765,1127.761905,23
11,1021,5.1,43930,0.801388573,0.09360346,0.004325063,0.077760073,0.04484407,0.044364012,0.514178258,0.057727897,0.14005134,0.249119456,45182,16751,0.019461525,0.4845,0.618291445,63,1081,920,0.185714286,0.141622142,0.367114286,0.780371321,0.822,AL,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Mostly Rural,0.199446295,2437.428571,43.95238095
12,1023,7.1,13075,0.563671128,0.426003824,0.000994264,0.005583174,0.004971319,0.021158129,0.434205607,0.040934579,0.180934579,0.320373832,34884,5350,0.008037383,0.4809,0.582803738,15.2,1385.4,978.9,0.222446602,0.114407107,0.366791745,0.740560748,0.814,AL,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",Rural,0.16490587,442.2857143,18.61904762
13,1025,10.7,24387,0.528765326,0.458153934,0.005043671,0.001968262,0.003813507,0.00990099,0.480123958,0.045415687,0.119256251,0.340884804,36127,9358,0.012930113,0.5185,0.531844411,20.9,1291.4,942.8,0.25405834,0.107643788,0.293383026,0.65281043,0.812,AL,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",Mostly Rural,0.17835069,1776.095238,22.0952381
14,1027,4,13378,0.802810585,0.14733144,0.001345493,0.031021079,0.019509643,0.036457261,0.519098549,0.030175707,0.146485867,0.275210084,41225,5236,0.025019099,0.4684,0.681818182,23.1,1311.9,916.9,0.184432515,0.102071907,0.25,0.788770053,0.755,AL,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",Rural,0.170457121,974.4761905,26.76190476
15,1029,4.1,14938,0.926429241,0.026308743,0.00020083,0.024233498,0.015062257,0.065999258,0.537722669,0.045581558,0.090813832,0.293223891,40188,5726,0.017988124,0.4622,0.604086622,26.7,1279.8,971.3,0.185483321,0.127777778,0.356520967,0.798812435,0.774,AL,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",Rural,0.1861167,842.3333333,14.23809524
16,1031,4.5,51288,0.706266573,0.170527219,0.012985494,0.069197473,0.035875838,0.032289735,0.516650665,0.037748244,0.131992521,0.276517257,53155,19789,0.013492344,0.4427,0.775531861,73.6,991.7,843.3,0.150568294,0.100925758,0.312405063,0.855121532,0.862,AL,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",Mostly Urban,0.198253792,2742.142857,22.28571429
17,1033,6.6,54495,0.786585925,0.157096981,0.004477475,0.024754565,0.016607028,0.018857119,0.501353273,0.050965641,0.125143355,0.291939997,47558,21799,0.010046332,0.4496,0.682049635,91.8,1304,955.8,0.162712304,0.080554425,0.274224461,0.814028166,0.844,AL,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Mostly Urban,0.172933147,3599.809524,49.33333333
18,1035,8.1,12514,0.501358479,0.476346492,0.001438389,0.008390603,0.007112035,0.028474157,0.397463927,0.032138172,0.201574115,0.35832969,33177,4574,0.014210756,0.4354,0.472015741,15.6,1234.4,822.7,0.222276068,0.144678803,0.316932169,0.575863577,0.808,AL,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",Mostly Rural,0.173033894,747.952381,14.71428571
19,1037,5.2,10855,0.652602487,0.342054353,0,0.004606172,0.004698296,0.125354108,0.491835243,0.029734341,0.127711431,0.33073361,38301,4103,0.005605654,0.4646,0.643431635,17.7,1512.1,1167.8,0.139590509,0.077591973,0.322262774,0.751888862,0.796,AL,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",Rural,0.136828285,403.2380952,4.142857143
20,1039,4.7,37351,0.833873256,0.128242885,0.003855318,0.016170919,0.007442906,0.017573907,0.492803838,0.0453758,0.136393923,0.288712687,40601,15008,0.009261727,0.4553,0.686234009,36.6,1342.8,949.8,0.183184825,0.111890393,0.354654675,0.765658316,0.829,AL,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Mostly Rural,0.180085832,2413.619048,36.66666667
21,1041,5.2,13865,0.711792283,0.226974396,0.013559322,0.019834115,0.019473494,0.05487096,0.472636816,0.045970149,0.16278607,0.285572139,39812,5025,0.018308458,0.504,0.59641791,22.8,1372.8,999.7,0.157235927,0.099589924,0.311920884,0.708855721,0.784,AL,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",Rural,0.191330235,755.952381,31.0952381
22,1043,3.8,82313,0.921191063,0.011589907,0.004057682,0.043043019,0.024115267,0.024234694,0.552684673,0.038529125,0.102017572,0.268760169,42558,30730,0.012365766,0.4548,0.699251546,109.4,1227.1,988.9,0.158376123,0.118250129,0.312774596,0.813114221,0.818,AL,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",Mostly Rural,0.184175341,5239.047619,53.52380952
23,1045,5.4,49255,0.690386763,0.195127398,0.010821236,0.062328698,0.033235205,0.028319993,0.487627209,0.036529191,0.149973219,0.280396358,45960,18670,0.011515801,0.45,0.728976968,89.6,1117.3,952.4,0.18385088,0.113649097,0.289237171,0.843920728,0.858,AL,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",Mostly Rural,0.184007159,2599.666667,57.38095238
24,1047,11.7,40029,0.275400335,0.702465712,0.005595943,0.010292538,0.013190437,0.014633795,0.33986288,0.060663565,0.246143487,0.318376592,31602,16336,0.015548482,0.4885,0.633631244,44.8,1427.2,1184.2,0.310884906,0.11987723,0.243406786,0.717617532,0.807,AL,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",Mostly Urban,0.201392623,2416.285714,33.38095238
25,1049,4.1,71200,0.806755618,0.01375,0.001966292,0.143539326,0.074789326,0.030672549,0.527169754,0.056826879,0.120618399,0.268023879,39233,26132,0.013163937,0.4748,0.670059697,91.5,1117.1,974.6,0.220750552,0.145237994,0.269616231,0.789797949,0.741,AL,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Mostly Rural,0.203795114,5483,44.33333333
26,1051,5.2,81212,0.732293257,0.211151061,0.004826873,0.02889967,0.01780525,0.044830646,0.535325807,0.055622276,0.128229764,0.251895824,59347,29143,0.013725423,0.4359,0.796211783,128.2,976.8,917.5,0.123391104,0.081579982,0.264484931,0.866383008,0.864,AL,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",Mostly Rural,0.187860951,4641.333333,70.14285714
27,1053,6.5,37328,0.60222889,0.319117017,0.003616588,0.022449636,0.009778183,0.0065481,0.432752458,0.035224903,0.143655049,0.351504319,35000,13428,0.013479297,0.4823,0.572535001,40.5,1383.6,1133.9,0.240467673,0.154663655,0.280331637,0.653708668,0.815,AL,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Mostly Rural,0.185270112,2159.47619,31.85714286
28,1055,7.6,102939,0.780792508,0.153644391,0.007179009,0.037692225,0.02892004,0.044728261,0.495396756,0.040204245,0.138484153,0.290765144,44023,38777,0.01155324,0.4483,0.734430203,195.2,1354.3,1071,0.172589032,0.104380005,0.256850851,0.833612709,0.845,AL,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Mostly Urban,0.177386866,7421.428571,73.52380952
29,1057,4.6,16585,0.846668677,0.112028942,0.006511908,0.017184203,0.009164908,0.029485144,0.52108824,0.066791421,0.104793436,0.275226717,37458,6947,0.020152584,0.4635,0.688786527,27.5,1504.9,1068.3,0.20047997,0.088251449,0.309796238,0.778465525,0.824,AL,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Mostly Rural,0.175745307,1081.190476,16.28571429
30,1059,3.9,31542,0.770813518,0.042419631,0.003772747,0.169076152,0.092543276,0.015074931,0.503479037,0.049687779,0.133898305,0.27823372,40459,11210,0.013648528,0.4224,0.596610169,50,1188.8,1021.9,0.202351505,0.127877646,0.278076115,0.715967886,0.768,AL,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Mostly Rural,0.202825075,2742.52381,34.04761905
31,1061,4.3,26491,0.839341663,0.093163716,0.004114605,0.038767883,0.01532596,0.029406707,0.514266628,0.046855616,0.127874797,0.261570761,38142,10479,0.007538887,0.4413,0.668575246,46.6,1424.1,1022.7,0.239981663,0.137032367,0.382651538,0.797976906,0.791,AL,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Mostly Rural,0.186593582,1341.238095,11.85714286
32,1063,11.9,8426,0.171492998,0.795988607,0,0.016971279,0.000949442,0.045079714,0.309306261,0.059898477,0.182402707,0.428426396,21804,2955,0.029103215,0.5041,0.461928934,14,1234.9,886,0.386505273,0.114203799,0.231624319,0.551945854,0.759,AL,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",Rural,0.180125755,493.4285714,18.61904762
33,1065,10.3,14887,0.396184591,0.587290925,0.002619735,0.008732451,0.005776852,0.060023086,0.412513256,0.025097207,0.191587133,0.351184164,30571,5658,0.014316013,0.5071,0.548957229,24.5,1264,974.9,0.2600355,0.087651034,0.279952784,0.656238954,0.836,AL,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Mostly Rural,0.18599413,1072.666667,32.28571429
34,1067,5.2,17124,0.689383322,0.276045317,0,0.026162112,0.010803551,0.035046176,0.538611486,0.032688559,0.100014995,0.296896086,48610,6669,0.003448793,0.435,0.721697406,30.8,1252.6,870.8,0.135360763,0.113964687,0.358255679,0.810016494,0.802,AL,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Mostly Rural,0.171287416,943,7.095238095
35,1069,6.3,104352,0.669139068,0.267239727,0.008126342,0.032936599,0.022682843,0.021884237,0.459939368,0.040098846,0.155529514,0.300180878,45496,39253,0.011948131,0.4808,0.704022622,175.1,1068.7,887.1,0.183111137,0.103729108,0.306653722,0.800906937,0.857,AL,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Mostly Urban,0.188785629,5793.52381,44.95238095
