"","Variable","Unweighted_noip","Weighted_noip","Unweighted_part","Weighted_part","Unweighted_full","Weighted_full"
"1","mask_level",NA,NA,NA,NA,NA,NA
"3","Always","210,183 (75%)","75%","97,703 (75%)","75%","146,487 (75%)","75%"
"4","Mostly","5,741 (2.0%)","2.0%","2,718 (2.1%)","2.1%","4,074 (2.1%)","2.1%"
"5","Never","1,306 (0.5%)","0.5%","546 (0.4%)","0.4%","849 (0.4%)","0.4%"
"6","Never in Public","1,857 (0.7%)","0.6%","868 (0.7%)","0.6%","1,282 (0.7%)","0.6%"
"7","Rarely","990 (0.4%)","0.3%","429 (0.3%)","0.3%","684 (0.3%)","0.4%"
"8","Sometimes","1,310 (0.5%)","0.5%","627 (0.5%)","0.5%","919 (0.5%)","0.5%"
"10","trav_out_state",NA,NA,NA,NA,NA,NA
"12","Yes","20,386 (7.2%)","7.3%","9,458 (7.2%)","7.3%","14,053 (7.2%)","7.2%"
"15","bar_rest_cafe_activ",NA,NA,NA,NA,NA,NA
"17","Yes","40,111 (14%)","14%","18,553 (14%)","14%","27,712 (14%)","14%"
"20","large_event_activ",NA,NA,NA,NA,NA,NA
"22","Yes","27,045 (9.6%)","9.6%","12,344 (9.4%)","9.4%","18,607 (9.5%)","9.5%"
"25","pub_transit_activ",NA,NA,NA,NA,NA,NA
"27","Yes","7,593 (2.7%)","2.7%","3,585 (2.7%)","2.7%","5,293 (2.7%)","2.7%"
"30","CLIv1",NA,NA,NA,NA,NA,NA
"31","Yes","4,494 (1.6%)","1.6%","2,097 (1.6%)","1.6%","3,074 (1.6%)","1.6%"
"35","CLIv2",NA,NA,NA,NA,NA,NA
"36","Yes","9,428 (3.3%)","3.3%","4,250 (3.2%)","3.3%","6,302 (3.2%)","3.2%"
"40","cliHH_pos","6,865 (2.4%)","2.5%","3,235 (2.5%)","2.5%","4,741 (2.4%)","2.5%"
"42","cntct_HH_test_pos","385 (0.1%)","0.2%","145 (0.1%)","0.1%","258 (0.1%)","0.1%"
"44","COVID_tested","41,677 (15%)","15%","19,395 (15%)","15%","28,966 (15%)","15%"
"46","COVID_positive",NA,NA,NA,NA,NA,NA
"47","Yes","8,332 (3.0%)","3.0%","3,736 (2.9%)","2.9%","5,726 (2.9%)","2.9%"
"51","tst_pos_ind","124 (<0.1%)","<0.1%","68 (<0.1%)","<0.1%","82 (<0.1%)","<0.1%"
"53","tested_routine","19 (<0.1%)","<0.1%","11 (<0.1%)","<0.1%","16 (<0.1%)","<0.1%"
"55","tst_pos_routine","0 (0%)","0%","0 (0%)","0%","0 (0%)","0%"
